id,name
207,Jeff Green
980,Kevin Huerter
527,Fred VanVleet
2097,John Konchar
712,Travis Wear
921,Jaylen Adams
279,Nikola Jokic
1654,Reggie Upshaw
931,Marvin Bagley III
199,Treveon Graham
2493,Esteban Batista
1870,Ty Jerome
386,Shabazz Napier
126,Anthony Davis
1089,David Wear
991,Kalin Lucas
239,Solomon Hill
999,Chimezie Metu
97,Willie Cauley-Stein
1982,Tanner McGrew
774,Terrance Ferguson
184,Marc Gasol
507,Garrett Temple
784,Harry Giles III
830,Lauri Markkanen
104,Marquese Chriss
922,Deng Adel
96,Omri Casspi
883,Marquis Teague
311,Courtney Lee
813,Kai Guo
843,Ben Moore
382,Dejounte Murray
2291,Qi Zhou
538,Kemba Walker
626,Shaquille Harrison
2096,Lyle Hexom
1395,Brandon Goodwin
1056,Brian Bowen II
1779,Tre Kelley
463,Domantas Sabonis
40,Nicolas Batum
852,Semi Ojeleye
451,Glenn Robinson III
1629,Jonathan Stark
1890,Isaiah Roby
1236,Johnathan Williams
1005,Dzanan Musa
2396,Vincent Poirier
49,DeAndre' Bembry
2001,Jaron Johnson
1810,Scotty Hopson
2099,Paris Lee
546,Hassan Whiteside
1009,Elie Okobo
2316,Mike Daum
121,Jae Crowder
2182,Keifer Sykes
337,Boban Marjanovic
1602,Junior Robinson
458,Terry Rozier
1529,Kennedy Meeks
951,Troy Caupain
1032,Emanuel Terry
981,Chandler Hutchison
1101,Nick Kay
48,Marco Belinelli
172,Raymond Felton
125,Troy Daniels
942,Isaiah Briscoe
38,Will Barton
1859,Daniel Gafford
570,Thaddeus Young
887,Sindarius Thornwell
179,Tim Frazier
973,Devonte' Graham
283,Derrick Jones Jr.
997,Jordan McLaughlin
391,Georges Niang
122,Dante Cunningham
1227,Duncan Robinson
598,Yogi Ferrell
369,Greg Monroe
52,Davis Bertans
430,Otto Porter Jr.
1796,Liang Cai
950,Wendell Carter Jr.
1103,Mitch Norton
249,Danuel House Jr.
64,Devin Booker
1513,Hassan Martin
486,Marcus Smart
327,Kyle Lowry
490,Jason Smith
943,Ryan Broekhoff
2229,Luka Babic
2457,Lucas Cipolini
265,LeBron James
1406,Devon Hall
2482,Marques Bolden
351,Doug McDermott
1323,Chris Chiozza
159,Joel Embiid
1974,Tre'Shaun Fletcher
46,Malik Beasley
1934,Juan Toscano-Anderson
489,JR Smith
445,Willie Reed
224,Andrew Harrison
1248,Peyton Aldridge
334,Ian Mahinmi
847,Abdel Nader
1055,Amida Brimah
229,John Henson
498,Jarnell Stokes
2280,Jinqiu Hu
517,Anthony Tolliver
359,Salah Mejri
2024,Dyshawn Pierre
160,James Ennis III
940,Mikal Bridges
1087,Jerome Randle
706,Casper Ware Jr.
493,Marreese Speights
356,Jordan McRae
220,Gary Harris
993,Daryl Macon
910,Yuchen Shi
1816,Julian Washburn
397,Dirk Nowitzki
1856,Sekou Doumbouya
925,Rawle Alkins
341,Wesley Matthews
1047,Corey Webster
932,Mo Bamba
277,Tyler Johnson
2491,Nicolo Melli
806,Justin Jackson
2275,Justin Simon
446,Josh Richardson
1855,Jarrett Culver
1606,Maverick Rowan
218,Montrezl Harrell
1402,Jordan Green
1067,BJ Johnson
2100,Adam Mokoka
892,Ekpe Udoh
254,RJ Hunter
600,Alex Poythress
182,Langston Galloway
19,Ryan Anderson
515,Tristan Thompson
177,Evan Fournier
846,Johnathan Motley
879,David Stockton
2115,Amir Coffey
2178,Shamorie Ponds
2069,Devontae Cacok
805,Josh Jackson
332,Shelvin Mack
392,Andrew Nicholson
1205,Jordan Howard
734,Dwayne Bacon
83,Trey Burke
400,Kyle O'Quinn
367,Nikola Mirotic
2510,Robert Loe
190,Taj Gibson
610,Okaro White
727,Jarrett Allen
92,Clint Capela
1965,Muhammad-Ali Abdur-Rahkman
1880,Jalen McDaniels
1018,Duncan Robinson
1899,Quinndary Weatherspoon
1287,Askia Booker
609,Ryan Arcidiacono
156,Henry Ellenson
1149,Franco Balbi
1461,Jaylen Johnson
325,Robin Lopez
2286,Qian Wu
512,Hollis Thompson
1013,Theo Pinson
840,Donovan Mitchell
426,Mason Plumlee
1085,Josh Boone
2279,Ailun Guo
539,John Wall
1535,Codi Miller McIntyre
60,Bojan Bogdanovic
558,Justise Winslow
990,Jordan Loyd
371,E'Twaun Moore
1028,Omari Spellman
914,Zhaoxu Zhang
261,Kyrie Irving
205,Gerald Green
1978,Jalen Hudson
1348,Trey Davis
2,Quincy Acy
1051,Walter Lemon Jr.
263,Demetrius Jackson
1903,Dylan Windler
582,Vincent Hunter
2397,Nigel Williams-Goss
320,Jeremy Lin
2197,Jalen Lecque
2194,Jared Harper
362,CJ Miles
1858,Bruno Fernando
2249,Kavell Bigby-Williams
300,Kosta Koufos
1058,Gary Trent Jr.
1893,Marial Shayok
1910,Jordan Caroline
2203,James Palmer Jr.
2501,Darquavis Tucker
163,Tyreke Evans
1519,Dakota Mathias
468,Dario Saric
497,Lance Stephenson
42,Aron Baynes
865,Davon Reed
597,Zach Auguste
410,Jabari Parker
542,Briante Weber
71,Malcolm Brogdon
2267,Jordan Murphy
1846,RJ Barrett
274,James Johnson
117,DeMarcus Cousins
433,Dwight Powell
1112,Kevin Lisch
110,Norris Cole
1388,Billy Garrett
227,Gordon Hayward
2067,Ebuka Izundu
54,Bismack Biyombo
1848,Goga Bitadze
390,Raul Neto
432,Kristaps Porzingis
